osmid,commutes
16223939,2
16223951,104
16223957,67
16223961,79
16223965,140
16223976,1964
16223979,8
16223982,38
16223985,12
16223990,18
16223992,54
16224001,6930
16224006,1
16224008,4866
16224009,4
16224018,262
16224021,34
16224025,301
16224026,13
16224028,5
16224030,1
16224032,54
16224036,674
16224038,7
16224039,1210
16224042,7
16224048,86
16224051,6
16224055,16
16224057,32
16224060,697
16224065,324
16224067,1200
16224070,63
16224071,16
16224074,54
16224075,5
16224076,263
16224077,9
16224078,21
16224079,269
16224080,852
16224081,56
16224082,99
16224083,121
16224085,25
16224086,6
16224087,3
16224090,798
16224094,32
16224097,314
16224100,303
16224104,225
16224105,8
16224106,343
16224108,8
16224109,206
16224110,12
16224112,113
16224113,12
16224114,68
16224115,3
16224116,30
16224117,97
16224118,66
16224119,133
16224121,715
16224123,25
16224124,6
16224129,68
16224133,4
16224135,2334
16224138,2
16224140,42
16224142,50
16224143,5
16224146,2062
16224148,216
16224150,77
16224151,70
16224152,366
16224153,30
16224156,225
16224158,14
16224162,562
16224164,73
16224167,105
16224168,11
16224171,129
16224175,7103
16224177,683
16224190,104
16224196,58
16224217,368
16224219,400
16224220,685
16224222,43
16224224,21
16224227,32
16224228,72
16224229,50
16224230,4
16224232,338
16224235,36
16224237,22
16224238,60
16224244,395
16224246,51
16224247,117
16224248,108
16224251,159
16224253,3
16224254,3
16224258,61
16224261,29
16224262,10
16224263,14
16224271,16
16224272,62
16224274,183
16224276,646
16224277,3
16224279,644
16224281,5
16224283,141
16224285,2
16224292,1859
16224293,88
16224295,41
16224297,23
16224301,3
16224303,40
16224305,5
16224307,24
16224311,38
16224312,789
16224313,14
16224314,23
16224317,2
16224318,65
16224322,116
16224325,1
16224328,98
16224330,2
16224335,767
16224336,2263
16224343,897
16224347,226
16224353,1279
16224354,83
16224361,4
16224363,111
16224365,416
16224366,307
16224369,44
16224371,340
16224373,2
16224374,46
16224378,1467
16224381,652
16224387,26
16224389,17
16224391,157
16224392,87
16224396,1
16224397,2967
16224399,1
16224400,253
16224403,2
16224405,90
16224406,5
16224409,33
16224411,46
16224415,6
16224416,48
16224419,888
16224421,290
16224422,215
16224423,18
16224424,1207
16224427,106
16224430,819
16224435,2847
16224437,7
16224438,79
16224439,21
16224440,744
16224442,493
16224444,1485
16224445,29
16224447,5
16224450,7
16224456,3
16224457,79
16224458,320
16224460,33
16224461,6
16224463,2
16224465,248
16224467,70
16224469,392
16224471,62
16224472,6
16224473,220
16224476,93
16224478,2360
16224480,766
16224485,218
16224488,54
16224489,119
16224490,199
16224491,3
16224496,825
16224500,1660
16224502,1
16224504,64
16224506,54
16224509,64
16224510,1270
16224512,7
16224514,15
16224515,2288
16224516,10
16224517,27
16224518,14
16224519,5
16224520,7
16224522,24
16224524,1
16224525,144
16224526,12
16224529,161
16224530,2
16224534,228
16224536,352
16224545,351
16224546,8
16224549,28
16224551,11
16224554,1333
16224557,69
16224558,8
16224559,6
16224647,1224
16224648,9
16224649,12
16224650,3
16224652,4
16224653,14
16224655,17
16224656,66
16224657,463
16224660,55
16224661,96
16224663,60
16224667,179
16224669,58
16224670,201
16224671,120
16224674,3
16224676,334
16224677,7
16224679,113
16224680,527
16224683,4
16224686,16
16224687,11
16224689,6
16224691,1
16224693,40
16224695,6
16224697,2
16224699,28
16224702,2
16224703,23
16224705,30
16224708,31
16224710,29
16224712,611
16224714,2
16224716,588
16224717,1
16224723,117
16224727,26
16224728,56
16224730,1
16224734,409
16224735,108
16224736,1
16224738,1
16224739,1
16224741,4
16224751,130
16224752,2
16224753,10
16224755,1
16224757,60
16224758,116
16224759,94
16224761,48
16224764,706
16224766,1
16224770,461
16224771,1674
16224772,142
16224774,13
16224777,21
16224780,423
16224782,20
16224786,151
16224788,164
16224789,5
16224790,5
16224792,13
16224800,4250
16224809,12
16224815,42
16224818,154
16224822,349
16224825,1299
16224826,82
16224827,167
16224833,2322
16224835,146
16224836,4
16224837,16
16224838,25
16224839,4
16224841,890
16224844,934
16224846,1863
16224848,65
16224850,7
16224851,79
16224853,64
16224854,32
16224855,39
16224857,28
16224858,5
16224860,531
16224866,2
16224868,5
16224869,65
16224871,82
16224873,1156
16224877,44
16224888,259
16224889,279
16224891,12
16224896,145
16224898,167
16224899,49
16224902,5
16224903,48
16224904,103
16224905,164
16224906,1
16224909,8
16224910,90
16224911,139
16224912,8
16224918,31
16224920,7
16224921,77
16224923,15
16224924,2
16224926,16
16224928,7
16224930,4
16224931,2
16224932,475
16224934,89
16224938,1842
16224939,78
16224940,3
16224941,5
16224943,242
16224945,8
16224947,2
16224950,2
16224952,89
16224955,72
16224956,32
16224958,80
16224960,3247
16224962,1838
16224963,4
16224964,30
16224966,286
16224967,5
16224969,142
16224970,93
16224973,742
16224977,154
16224978,12
16224979,54
16224981,19
16224992,668
16224993,483
16224995,45
16224996,20
16225004,521
16225008,25
16225011,317
16225015,28
16225017,728
16225018,34
16225019,41
16225020,41
16225024,106
16225026,14
16225030,98
16225031,30
16225032,2958
16225033,26
16225037,55
16225038,13
16225040,10
16225041,388
16225043,6
16225044,13
16225045,24
16225046,1
16225047,20
16225049,8
16225050,1
16225052,88
16225054,81
16225056,2
16225058,35
16225063,7
16225067,6
16225069,7
16225073,48
16225077,17
16225078,80
16225081,13
16225083,62
16225084,3334
16225086,435
16225087,53
16225089,18
16225092,70
16225094,1
16225096,26
16225097,18
16225099,2
16225101,312
16225102,57
16225103,431
16225104,3
16225106,4
16225107,5
16225108,53
16225109,39
16225112,2778
16225113,6
16225120,75
16225122,727
16225124,565
16225125,62
16225128,9
16225130,129
16225133,5
16225135,50
16225137,216
16225141,732
16225142,1334
16225143,1281
16225145,839
16225148,16
16225151,522
16225152,4
16225155,28
16225156,108
16225157,9
16225158,7
16225160,72
16225161,517
16225163,8
16225164,327
16225165,92
16225166,40
16225167,3
16225168,14
16225169,9
16225171,4
16225172,14
16225175,542
16225178,687
16225179,6
16225180,23
16225181,143
16225184,6
16225185,6
16225187,3
16225188,7
16225189,8
16225193,77
16225194,28
16225195,63
16225199,212
16225200,144
16225202,5
16225204,220
16225205,5
16225206,12
16225208,218
16225213,360
16225218,65
16225219,318
16225220,2
16225222,54
16225224,122
16225234,3172
16225238,349
16225240,111
16225254,4
16225256,8
16225257,17
16225261,878
16225262,44
16225263,37
16225265,101
16225266,10
16225270,419
16225273,21
16225275,2
16225276,121
16225277,648
16225282,221
16225285,475
16225287,52
16225288,261
16225290,102
16225291,1
16225292,4
16225293,49
16225294,39
16225296,6
16225300,45
16225301,1
16225303,46
16225305,22
16225306,317
16225307,322
16225308,399
16225309,5
16225312,197
16225313,4
16225315,633
16225318,338
16225322,128
16225325,16
16225326,1
16225331,424
16225336,704
16225337,43
16225341,232
16225344,102
16225345,269
16225346,176
16225347,2
16225352,79
16225355,44
16225357,173
16225359,63
16225360,224
16225361,23
16225363,93
16225367,411
16225368,13
16225369,125
16225370,37
16225372,27
16225374,4
16225375,31
16225376,597
16225390,161
16225393,43
16225395,18
16225396,51
16225397,2
16225398,12
16225402,94
16225403,24
16225404,14
16225406,2
16225407,9
16225408,28
16225409,109
16225410,22
16225414,1
16225416,144
16225417,18
16225419,58
16225421,24
16225422,12
16225423,3
16225424,21
16225428,2061
16225431,382
16225432,38
16225434,1326
16225435,1408
16225437,5268
16225440,2819
16225456,2169
16225458,14
16225464,10
16225465,24
16225467,276
16225469,7
16225475,28
16225477,1
16225479,5
16225482,28
16225486,878
16225489,4
16225494,4
16225500,160
16225503,64
16225507,13
16225509,7
16225511,46
16225512,43
16225513,132
16225515,38
16225517,17
16225521,18
16225526,1567
16225527,44
16225528,248
16225529,173
16225532,12
16225536,461
16225542,509
16225545,108
16225546,3
16225547,20
16225548,36
16225549,71
16225550,32
16225552,1885
16225554,457
16225555,52
16225556,209
16225558,73
16225559,6
16225560,2557
16225561,34
16225562,6
16225565,51
16225566,1475
16225568,13
16225569,149
16225570,152
16225574,29
16225577,5
16225578,7
16225579,27
16225581,661
16225583,37
16225584,232
16225585,1178
16225586,11
16225587,17
16225590,28
16225591,22
16225594,231
16225595,212
16225597,111
16225598,230
16225600,9
16225602,141
16225603,28
16225604,4
16225605,25
16225606,7
16225607,277
16225609,3509
16225610,6
16225612,148
16225614,287
16225615,35
16225619,7591
16225621,2
16225623,359
16225625,12
16225626,13
16225627,2
16225630,278
16225631,10
16225633,2
16225634,188
16225635,12
16225636,30
16225640,24
16225642,6
16225644,118
16225646,1142
16225648,7
16225654,2829
16225656,18
16225675,1738
16225678,1
16225679,203
16225688,76
16225690,25
16225692,3
16225694,1545
16225695,10
16225696,56
16225697,34
16225699,66
16225700,32
16225701,44
16225702,72
16225704,231
16225705,23
16225706,196
16225707,115
16225710,230
16225711,2229
16225712,3
16225713,89
16225714,18
16225716,1
16225717,162
16225719,1594
16225720,3548
16225722,15
16225723,31
16225727,609
16225728,414
16225731,66
16225734,14
16225737,22
16225739,145
16225740,1
16225742,20
16225743,146
16225744,15
16225745,450
16225746,8
16225748,26
16225749,362
16225751,588
16225753,563
16225756,265
16225757,6
16225758,13
16225759,1422
16225761,12
16225762,2
16225763,1
16225764,1
16225766,345
16225767,59
16225768,180
16225770,206
16225773,631
16225776,970
16225778,7
16225780,24
16225781,348
16225782,5891
16225785,67
16225787,14
16225789,93
16225792,473
16225793,130
16225795,134
16225798,3
16225804,11
16225805,245
16225807,48
16225808,13
16225810,12
16225812,11
16225814,449
16225815,19
16225817,214
16225818,1
16225819,21
16225822,185
16225823,19
16225825,30
16225827,1
16225829,4
16225830,10
16225835,289
16225838,121
16225842,1367
16225846,469
16225849,36
16225851,194
16225855,1404
16225856,35
16225858,5
16225861,106
16225864,760
16225865,1
16225866,18
16225867,6
16225869,48
16225870,27
16225871,8
16225872,14
16225877,138
16225878,16
16225880,102
16225881,3112
16225883,5
16225885,13
16225887,76
16225892,188
16225894,20
16225895,7
16225896,3
16225898,513
16225899,100
16225900,290
16225904,294
16225905,195
16225908,4
16225909,52
16225910,2
16225913,24
16225914,1
16225916,115
16225918,42
16225919,10035
16225921,48
16225922,62
16225924,120
16225931,736
16225933,154
16225934,428
16225935,71
16225936,5
16225937,4
16225940,105
16225942,166
16225943,2
16225944,16
16225945,2
16225946,12
16225950,81
16225952,62
16225953,10
16225954,3
16225955,101
16225957,5
16225959,29
16225960,56
16225962,31
16225963,13
16225965,134
16225966,20
16226043,557
16226056,943
16226057,5
16226058,38
16226059,19
16226061,7
16226062,59
16226065,67
16226066,18
16226067,3
16226068,261
16226069,1896
16226070,2
16226072,511
16226073,1
16226075,29
16226076,374
16226077,101
16226079,194
16226081,1
16226083,17
16226084,285
16226085,2
16226090,721
16226091,19
16226093,14
16226095,31
16226096,4
16226098,211
16226099,77
16226101,189
16226102,101
16226103,14
16226105,8
16226106,1
16226108,63
16226109,35
16226112,3
16226114,3
16226117,269
16226119,934
16226122,14
16226124,24
16226126,5
16226127,131
16226128,74
16226130,28
16226133,14
16226134,13
16226136,43
16226255,384
16226257,92
16226258,35
16226259,21
16226260,98
16226263,24
16226265,40
16226266,24
16226268,690
16226271,108
16226272,38
16226273,90
16226274,82
16226276,642
16226277,44
16226281,827
16226301,55
16226303,60
16226305,746
16226307,9
16226311,297
16226313,1
16226315,14
16226316,463
16226318,13
16226319,252
16226321,2
16226322,40
16226323,5
16226326,10
16226328,599
16226329,17
16226334,58
16226336,283
16226337,100
16226342,196
16226345,10
16226346,27
16226348,91
16226349,663
16226352,268
16226353,5
16226354,6
16226355,1
16226356,18
16226357,4
16226360,55
16226361,29
16226363,1
16226391,2955
16226394,125
16226395,10
16226396,4
16226398,13
16226399,4
16226401,5
16226404,26
16226406,10
16226408,1099
16226409,31
16226412,902
16226417,137
16226420,1618
16226425,259
16226426,46
16226427,707
16226428,1
16226429,62
16226430,41
16226431,2295
16226432,24
16226433,200
16226434,68
16226435,758
16226438,823
16226440,72
16226441,54
16226444,79
16226445,40
16226446,123
16226447,2
16226448,9
16226449,5
16226450,54
16226452,2
16226454,20
16226456,92
16226458,68
16226460,32
16226462,37
16226464,15
16226465,132
16226467,790
16226468,12
16226470,4
16226472,17
16226474,35
16226476,2
16226479,1
16226480,2
16226484,6
16226485,207
16226487,89
16226488,2
16226490,60
16226491,16
16226492,4631
16226494,26
16226495,37
16226496,7
16226497,76
16226498,831
16226499,32
16226501,8
16226502,8
16226504,1215
16226505,3
16226506,9
16226509,80
16226510,8
16226511,203
16226515,330
16226519,8
16226521,113
16226523,1003
16226524,98
16226529,26
16226530,191
16226533,6
16226534,2
16226535,164
16226536,2
16226537,139
16226539,1645
16226543,281
16226545,1062
16226546,20
16226551,122
16226552,74
16226553,5
16226554,95
16226556,229
16226557,4
16226559,104
16226560,11
16226561,21
16226563,532
16226564,596
16226565,676
16226567,244
16226568,5007
16226569,8
16226570,237
16226571,2730
16226572,117
16226575,395
16226577,14
16226580,8
16226582,2
16226585,1170
16226587,8
16226588,3
16226589,288
16226592,9
16226593,3
16226594,2
16226595,16
16226597,3
16226599,120
16226602,8
16226603,74
16226604,35
16226605,3
16226606,29
16226607,306
16226608,312
16226610,579
16226615,100
16226616,12
16226619,35
16226620,14
16226630,176
16226632,19
16226637,341
16226638,64
16226641,37
16226643,226
16226644,20
16226645,2
16226647,185
16226649,13
16226653,15
16226659,54
16226661,952
16226664,34
16226667,36
16226668,68
16226670,191
16226671,10
16226673,1
16226675,5
16226677,75
16226678,24
16226681,2
16226683,44
16226685,115
16226686,316
16226688,346
16226690,1702
16226691,2
16226692,130
16226700,2
16226708,36
16226710,2
16226711,15
16226712,19
16226715,12
16226716,161
16226717,93
16226718,2
16226720,46
16226722,56
16226723,99
16226725,290
16226726,197
16226727,517
16226730,6
16226735,1150
16226736,1
16226737,66
16226738,75
16226739,116
16226740,35
16226741,15
16226743,24
16226744,62
16226745,8
16226746,179
16226747,46
16226750,17
16226752,188
16226753,1
16226754,52
16226756,27
16226757,2
16226758,84
16226760,3
16226761,16
16226762,17
16226764,81
16226765,12
16226766,120
16226767,115
16226768,16
16226769,13
16226770,2
16226771,19
16226772,62
16226774,804
16226775,140
16226781,1
16226782,6
16226785,8
16226786,6
16226788,14
16226790,7
16226791,180
16226794,201
16226795,20
16226797,154
16226798,186
16226799,5738
16226800,346
16226802,5
16226803,12
16226805,11
16226807,2
16226808,73
16226811,14
16226812,10
16226813,5
16226814,64
16226819,35
16226822,14
16226825,2
16226828,17
16226829,1
16226833,133
16226836,110
16226838,39
16226839,4
16226841,10
16226844,3
16226847,35
16226856,908
16226864,863
16226865,18
16226867,12
16226868,1485
16226869,26
16226870,35
16226872,5
16226875,2
16226879,3
16226881,181
16226883,55
16226889,2
16226892,363
16226895,14
16226899,170
16226900,128
16226902,2
16226904,45
16226908,524
16226909,19
16226911,2
16226914,39
16226916,14
16226918,18
16226919,1404
16226928,40
16226933,12
16226936,291
16226937,131
16226939,6
16226941,44
16226945,1495
16226948,49
16226949,52
16226951,1643
16226952,37
16226953,42
16226954,12
16226957,100
16226960,43
16226962,41
16226963,194
16226964,1
16226965,107
16226971,56
16226972,7
16226973,41
16226975,11
16226978,177
16226979,7
16226981,60
16226982,144
16226983,578
16226985,41
16226987,48
16226989,69
16226990,3
16226992,50
16226993,53
16226994,2205
16226995,2
16226996,88
16226997,28
16226999,8
16227000,3
16227001,19
16227002,91
16227003,7
16227004,4
16227006,7
16227007,21
16227008,205
16227010,2
16227011,124
16227012,136
16227013,91
16227015,91
16227016,9
16227017,51
16227018,151
16227019,30
16227020,32
16227022,16
16227023,19
16227025,3
16227027,64
16227029,48
16227041,13
16227043,83
16227044,358
16227046,42
16227048,188
16227053,75
16227054,91
16227055,6
16227056,11
16227057,6
16227060,3
16227061,7
16227063,101
16227064,419
16227067,35
16227070,861
16227072,127
16227074,158
16227077,694
16227080,73
16227082,70
16227084,2
16227085,5
16227088,625
16227090,87
16227091,162
16227092,2
16227095,32
16227097,37
16227099,35
16227101,72
16227103,78
16227104,41
16227105,6
16227106,58
16227111,17
16227112,31
16227113,259
16227117,48
16227119,11
16227124,53
16227126,1490
16227127,16
16227129,8
16227131,1384
16227132,4
16227136,187
16227142,4
16227144,60
16227150,1126
16227158,14
16227159,13
16227160,66
16227162,2719
16227163,12
16227164,14
16227165,6
16227167,11
16227168,1
16227169,365
16227171,1316
16227174,2
16227176,236
16227178,4
16227179,7
16227181,244
16227194,4
16227199,2712
16227203,65
16227205,4301
16227206,30
16227207,29
16227209,1
16227212,261
16227214,22
16227215,4
16227216,28
16227218,1
16227220,1
16227223,298
16227228,1066
16227230,25
16227231,13
16227233,80
16227235,182
16227236,3
16227237,172
16227238,332
16227239,206
16227240,82
16227242,152
16227243,61
16227245,311
16227248,1
16227249,10
16227250,9
16227251,22
16227253,24
16227263,1856
16227265,2
16227266,83
16227275,1901
16227276,147
16227278,328
16227279,549
16227281,12
16227282,390
16227283,7
16227290,1361
16227293,183
16227296,63
16227297,74
16227298,61
16227299,40
16227301,1
16227305,139
16227309,7
16227313,999
16227315,44
16227316,13
16227318,15
16227320,737
16227321,399
16227322,20
16227324,61
16227326,554
16227327,15
16227328,1583
16227330,200
16227333,6
16227334,70
16227335,162
16227336,16
16227346,9939
16227348,421
16227350,45
16227353,308
16227354,327
16227356,16
16227357,3
16227358,31
16227360,11
16227361,8
16227364,298
16227365,387
16227367,78
16227368,4
16227370,6
16227372,227
16227373,26
16227375,24
16227376,45
16227378,7
16227380,1
16227381,16
16227383,55
16227385,13
16227386,112
16227388,6
16227392,184
16227394,3393
16227395,62
16227396,355
16227400,469
16227407,2803
16227408,13
16227410,4
16227411,3
16227414,530
16227417,27
16227420,28
16227421,583
16227422,5
16227425,99
16227426,244
16227428,36
16227430,54
16227431,6
16227432,232
16227434,7
16227436,18
16227437,1168
16227439,18
16227441,37
16227442,5
16227444,110
16227445,40
16227446,71
16227447,18
16227451,322
16227453,28
16227454,52
16227455,38
16227460,4
16227462,187
16227466,231
16227467,155
16227470,1585
16227471,15
16227472,24
16227476,112
16227478,8
16227481,81
16227483,554
16227486,26
16227487,13
16227489,237
16227493,1743
16227495,620
16227497,1
16227498,76
16227500,14
16227501,12
16227504,1
16227506,2
16227510,487
16227512,674
16227518,61
16227520,26
16227525,3706
16227527,563
16227530,341
16227533,63
16227536,22
16227541,23
16227543,32
16227544,122
16227546,11
16227547,470
16227548,106
16227549,62
16227550,20
16227551,1
16227552,3
16227554,28
16227555,20
16227557,33
16227562,380
16227563,29
16227564,88
16227565,31
16227567,196
16227572,7
16227573,13
16227575,45
16227576,15
16227578,79
16227579,18
16227580,7
16227581,2628
16227582,2
16227585,212
16227586,9
16227587,1303
16227588,14
16227591,3
16227592,3692
16227597,21
16227598,16
16227600,55
16227603,297
16227604,64
16227606,2203
16227611,588
16227612,2
16227613,13
16227614,211
16227616,14
16227618,14
16227619,508
16227626,86
16227629,319
16227631,6552
16227638,31
16227639,603
16227641,4
16227642,11
16227644,14
16227647,41
16227648,1277
16227649,44
16227650,101
16227652,586
16227653,60
16227654,1
16227657,6
16227661,147
16227664,907
16227665,32
16227666,136
16227670,473
16227671,36
16227672,36
16227673,88
16227674,13
16227675,26
16227676,244
16227679,16
16227682,288
16227684,8
16227685,100
16227686,74
16227687,439
16227688,151
16227690,7
16227691,6
16227692,76
16227693,1
16227694,23
16227701,795
16227702,104
16227705,258
16227707,85
16227710,2010
16227712,238
16227714,10
16227717,14
16227718,34
16227719,2342
16227721,80
16227722,38
16227725,111
16227726,4
16227728,8
16227729,5
16227731,219
16227733,129
16227735,3
16227738,137
16227740,1
16227741,2
16227743,7
16227746,12
16227747,2
16227748,766
16227749,52
16227752,141
16227754,403
16227755,34
16227756,8
16227760,8
16227761,3
16227762,14
16227767,669
16227768,1
16227769,30
16227770,1
16227772,137
16227774,76
16227776,22
16227778,31
16227779,38
16227783,106
16227784,2
16227787,663
16227789,2
16227790,3
16227791,9
16227792,50
16227793,1013
16227796,23
16227798,41
16227799,36
16227800,5
16227803,212
16227805,17
16227808,28
16227811,8
16227814,75
16227816,19
16227818,159
16227820,1182
16227823,3
16227826,774
16227827,423
16227828,710
16227829,5
16227830,3
16227832,23
16227833,573
16227834,150
16227837,25
16227838,53
16227843,3
16227844,32
16227849,7505
16227851,995
16227856,20
16227857,4
16227858,1517
16227859,84
16227862,16
16227864,37
16227870,7037
16227874,2
16227878,3013
16227879,15
16227880,128
16227881,3
16227882,179
16227884,78
16227885,1
16227886,8
16227887,5
16227890,47
16227891,17
16227892,13
16227896,1018
16227898,39
16227899,7
16227902,110
16227903,1
16227904,470
16227905,66
16227906,26
16227907,27
16227908,59
16227909,44
16227910,77
16227911,238
16227913,10
16227916,286
16227923,4
16227925,309
16227926,17
16227927,87
16227929,9686
16227930,277
16227933,856
16227934,14
16227936,3
16227939,117
16227943,33
16227944,1
16227946,4
16227949,37
16227950,15
16227953,3
16227955,3
16227956,43
16227958,10
16227959,12
16227961,212
16227963,358
16227965,11
16227966,6
16227971,57
16227973,40
16227977,62
16227979,260
16227985,192
16227986,16
16227988,26
16227990,49
16227991,10
16227993,27
16227994,2
16227995,12
16227996,241
16227999,883
16228001,4442
16228003,52
16228007,887
16228008,23
16228009,44
16228010,363
16228011,3
16228014,1091
16228016,100
16228017,25
16228020,199
16228021,235
16228023,117
16228024,48
16228028,173
16228031,9
16228032,17
16228034,1
16228035,51
16228036,152
16228037,91
16228038,175
16228039,3
16228041,3
16228043,9
16228044,1625
16228045,185
16228047,12
16228048,536
16228049,1777
16228050,110
16228051,7
16228053,30
16228054,353
16228056,21
16228057,2
16228059,1228
16228060,1673
16228063,408
16228065,563
16228068,500
16228069,196
16228070,6
16228075,35
16228081,35
16228082,89
16228083,17
16228084,2
16228085,8
16228088,70
16228097,162
16228098,294
16228100,2894
16228101,80
16228103,318
16228104,17
16228106,10
16228107,465
16228110,317
16228112,477
16228113,4760
16228114,12
16228115,11
16228116,32
16228117,20
16228118,507
16228119,99
16228120,5
16228122,56
16228123,38
16228124,5
16228125,5
16228127,13
16228128,185
16228129,40
16228130,341
16228131,164
16228132,6
16228134,106
16228141,30
16228142,246
16228143,3
16228145,145
16228146,33
16228147,2
16228149,56
16228151,80
16228155,56
16228157,6
16228158,6
16228159,512
16228160,625
16228161,133
16228162,4
16228163,8
16228164,64
16228165,57
16228166,111
16228169,21
16228170,8
16228172,192
16228173,459
16228175,64
16228177,88
16228178,3
16228179,333
16228180,34
16228181,20
16228182,695
16228185,536
16228186,33
16228188,106
16228191,469
16228195,52
16228197,546
16228201,144
16228202,4
16228207,139
16228212,318
16228213,2
16228215,6
16228216,536
16228217,5
16228218,83
16228219,189
16228220,14
16228221,77
16228222,97
16228223,8
16228224,295
16228225,50
16228226,726
16228229,31
16228230,7
16228233,5445
16228234,250
16228238,313
16228242,56277
16228247,1272
16228250,85
16228251,133
16228253,23
16228254,3
16228257,1724
16228258,123
16228260,1245
16228262,538
16228264,5
16228270,186
16228272,123
16228273,3
16228274,1015
16228279,454
16228282,237
16228283,14
16228286,1000
16228288,1243
16228289,146
16228291,241
16228292,4906
16228293,19
16228294,9
16228295,118
16228296,20
16228297,16
16228298,17
16228300,1988
16228303,46
16228306,83
16228307,346
16228310,151
16228311,11
16228312,78
16228314,6
16228316,13
16228317,8
16228319,7
16228322,408
16228324,79
16228325,268
16228326,8
16228330,339
16228332,129
16228334,59
16228335,43
16228336,4
16228339,136
16228341,1
16228342,16
16228346,72
16228347,5239
16228349,8
16228350,18
16228352,192
16228353,762
16228354,223
16228355,1
16228356,11
16228359,1
16228360,85
16228362,42
16228364,15
16228365,76
16228367,54
16228369,50
16228370,6
16228371,34
16228372,26
16228374,83
16228375,69
16228377,132
16228379,627
16228386,3
16228388,60
16228391,2
16228392,2
16228394,382
16228396,618
16228398,38
16228399,66
16228400,180
16228402,341
16228407,12
16228410,70
16228413,177
16228414,21
16228415,642
16228417,77
16228418,15
16228420,2
16228421,43
16228422,87
16228424,165
16228425,12
16228427,246
16228430,13
16228432,271
16228435,99
16228437,6
16228441,87
16228444,67
16228447,9
16228451,12
16228452,16
16228454,16
16228455,217
16228456,39
16228457,1
16228458,347
16228461,273
16228467,608
16228470,27
16228471,390
16228472,5
16228474,7
16228476,20
16228477,3
16228478,87
16228480,6
16228483,56
16228485,10
16228486,7945
16228488,49
16228489,48
16228490,736
16228491,23
16228493,6
16228494,164
16228495,155
16228496,130
16228497,25
16228499,7030
16228500,29
16228502,226
16228503,26
16228504,35
16228507,6
16228508,18
16228509,120
16228511,2167
16228512,638
16228514,14
16228515,3
16228516,209
16228517,90
16228518,37
16228521,277
16228522,2
16228543,11
16228544,13
16228547,38
16228548,8
16228550,140
16228552,226
16228557,170
16228562,549
16228566,470
16228576,777
16228577,6
16228579,49
16228580,13
16228581,11
16228582,21
16228584,106
16228586,15
16228588,8
16228591,185
16228592,49
16228594,1
16228596,40
16228610,56
16228612,1562
16228619,402
16228625,74
16228628,7
16228638,13
16228640,10
16228641,36
16228643,836
16228644,4
16228652,43
16228658,15
16228659,9
16228661,34
16228663,25
16228664,38
16228665,49
16228666,25
16228667,14
16228670,33
16228671,87
16228672,999
16228673,70
16228675,54
16228678,610
16228682,350
16228684,25
16228685,24
16228687,32
16228688,281
16228689,54
16228698,2257
16228699,77
16228701,67
16228702,1
16228705,28
16228706,78
16228707,4234
16228709,1
16228714,208
16228727,718
16228730,54
16228737,80
16228739,3
16228742,33
16228744,34
16228747,24
16228748,23
16228749,32
16228750,12
16228753,18
16228758,293
16228766,4
16228768,82
16228769,71
16228770,8
16228771,105
16228773,119
16228774,7
16228778,441
16228792,1
16228797,156
16228803,482
16228807,2149
16228811,1202
16228815,3173
16228817,43
16228820,5
16228822,139
16228824,8
16228832,135
16228836,567
16228842,20
16228843,3
16228848,10
16228851,1
16228853,1
16228855,1429
16228856,14
16228857,189
16228858,12
16228860,13
16228861,1185
16228862,418
16228863,8
16228865,102
16228866,10
16228872,2
16228873,91
16228876,995
16228879,166
16228880,66
16228881,18
16228883,57
16228884,1
16228886,398
16228887,29
16228889,35
16228890,25
16228893,448
16228896,1
16228899,1
16228915,112
16228918,2
16228921,7
16228928,551
16228932,322
16228935,23
16228938,71
16228939,206
16228940,350
16228942,14
16228944,26
16228947,48
16228949,7
16228955,23
16228958,28
16228961,43
16228965,665
16228968,14
16228971,50
16228973,10
16228974,44
16228981,126
16228983,8
16228985,711
16228986,5
16228987,2
16228991,30
16228996,78
16228998,8
16229001,92
16229005,358
16229006,556
16229008,8
16229009,74
16229010,7
16229011,429
16229013,116
16229014,1
16229016,730
16229019,7
16229021,17
16229022,116
16229023,148
16229031,5
16229035,147
16229037,6
16229039,19384
16229045,87
16229048,478
16229050,35
16229054,65
16229056,67
16229057,91
16229061,57
16229063,49
16229067,190
16229070,28
16229072,12
16229073,15
16229075,19
16229077,8
16229079,102
16229080,4
16229092,117
16229096,23
16229100,44
16229105,71
16229106,4
16229111,47
16229115,203
16229118,49
16229121,11
16229124,9
16229125,1
16229127,6
16229129,297
16229131,17
16229132,801
16229139,1457
16229145,807
16229148,242
16229154,58
16229159,4
16229162,102
16229164,3
16229169,82
16229177,141
16229182,187
16229184,10
16229185,16
16229187,22
16229189,12
16229193,427
16229197,1380
16229198,306
16229202,28
16229203,16
16229205,13
16229207,97
16229208,20
16229209,797
16229216,115
16229224,194
16229226,12
16229227,4
16229228,334
16229230,7
16229233,6
16229236,466
16229239,1
16229241,30
16229249,45
16229250,69
16229254,3
16229258,13
16229260,5630
16229264,86
16229267,524
16229270,8
16229272,70
16229275,1690
16229278,381
16229279,183
16229280,4
16229281,19
16229282,1
16229286,1015
16229288,144
16229290,84
16229292,35
16229297,658
16229298,188
16229306,1
16229308,831
16229310,19
16229316,139
16229322,430
16229324,3
16229326,228
16229334,219
16229335,15
16229336,37
