osmid,commutes
"[16232136, 16220556]",16
"[16232136, 16228596]",27
"[16232138, 524853534]",28
"[16232140, 341575199]",308
"[16232156, 525628831]",138
"[16232248, 95107017, 95107039]",5503
"[16232289, 525558541]",1143
"[16232319, 825133438, 825133439]",4508
"[16232340, 16242884]",14
"[16232360, 16225105]",1
"[16232363, 16233692]",40
"[16232365, 16227006]",1
"[16232408, 16237277]",1
"[16232420, 16234774]",2
"[16232429, 16237030]",31
"[16233344, 16215333]",143
"[16233364, 350407967]",639
"[16233369, 16234853]",14
"[16233408, 16235332]",34
"[16233416, 16238252]",6
"[16233422, 59150454]",4
"[16233434, 337500895]",813
"[16233507, 537732428, 537732429]",463
"[16233513, 823882516]",682
"[16233544, 16238791]",6
"[16233571, 736560335]",810
"[16233662, 16218630]",13
"[16233665, 16242146]",5
"[16233677, 16215997]",10
"[16233688, 16214139]",19
"[16233697, 16224655]",42
"[16233708, 16234759]",75
"[16233709, 338251406]",42
"[16233728, 16240393]",5
"[16233730, 16217812]",1
"[16233738, 16224510]",8
"[16233778, 528442027]",18
"[16233792, 16215835]",125
"[16233824, 16223881]",7
"[16233841, 16228027]",300
"[16233846, 16243095]",56
"[16233866, 16228107]",27
"[16233873, 16237583]",9
"[16233921, 16235930]",9
"[16233923, 240528247]",24
"[16233929, 16212733]",5
"[16233994, 235966266]",9
"[16234043, 16243327]",25
"[16234058, 16242302]",51
"[16234073, 376597453]",1367
"[16234106, 16225179, 16237983]",6
"[16234109, 16241438]",11
"[16234110, 736160951]",9656
"[16234144, 16216590]",148
"[16234198, 824314599]",91
"[16234205, 16235215]",41
"[16234206, 16220446]",691
"[16234280, 16216073, 665330271, 42009863]",604
"[16234290, 16234291]",3
"[16234297, 16227870]",3
"[16234516, 16235197]",353
"[16234601, 16213243]",2
"[16234634, 16220567]",14
"[16234643, 16239060]",12
"[16234664, 16239234, 16231229]",6
"[16234666, 16238964]",74
"[16234666, 16238966]",42
"[16234704, 16216940]",424
"[16234762, 560745749]",984
"[16234776, 531408868]",2943
"[16234781, 16221831]",4
"[16234787, 16229419]",495
"[16234793, 589098381]",162
"[16234794, 567033829]",717
"[16234840, 539031726, 539031727]",36
"[16234858, 16243093]",37
"[16234897, 16228261]",1424
"[16234984, 665330284, 738482772]",1065
"[16235026, 16225315]",357
"[16235040, 16220643]",2775
"[16235040, 676541659]",3381
"[16235109, 16219838]",6
"[16235192, 16221434]",12
"[16235259, 539031710]",1
"[16235269, 16228414]",20
"[16235321, 16222586]",43
"[16235372, 736228941]",58
"[16235402, 16225959]",82
"[16235490, 805840770]",14
"[16235492, 16229710]",9
"[16235496, 16229494]",1
"[16235504, 685266749, 685266750]",2
"[16235512, 24038533]",9
"[16235515, 16236300]",32
"[16235515, 16241855]",27
"[16235553, 16228116]",16
"[16235553, 16230653]",11
"[16235574, 16222135]",1
"[16235632, 16243657]",515
"[16235643, 682948734]",14
"[16235656, 525871009]",3
"[16235660, 16241591]",16
"[16235676, 16229268, 16226065]",6
"[16235696, 48947754, 48947755]",4843
"[16235746, 333614158, 333614159]",181
"[16235747, 798250783]",532
"[16235825, 16213301]",106
"[16235873, 16227090, 16235975]",3
"[16235874, 16228579]",49
"[16235881, 16228547]",38
"[16235891, 16223887]",468
"[16235896, 16235632]",380
"[16235936, 16226264]",162
"[16235939, 16241726]",33
"[16235952, 16218357]",13
"[16235986, 16233755]",99
"[16236048, 331770391]",64
"[16236052, 16222236]",51
"[16236066, 528652325]",40
"[16236081, 671782943]",39
"[16236131, 16236812]",2037
"[16236144, 16241506]",28
"[16236155, 16228291]",385
"[16236194, 16236951]",2
"[16236225, 16220411, 16225903]",9
"[16236230, 16227759]",3512
"[16236248, 16238955]",25
"[16236254, 16236261, 825340798, 825340799]",85
"[16236300, 16239636]",14
"[16236339, 240527710]",61
"[16236345, 240563444]",26
"[16236352, 16234683]",20
"[16236488, 16226867]",14
"[16236528, 16239477]",13
"[16236560, 16220716]",73
"[16236570, 780590559]",9
"[16236577, 16216187]",7
"[16236593, 16230834]",42
"[16236613, 16226093]",28
"[16236641, 16212871]",37
"[16236669, 16236671]",8
"[16236674, 703055942]",9
"[16236700, 16236701, 16236702]",247
"[16236704, 16236591]",11
"[16236712, 16236285]",23
"[16236736, 16214257]",6
"[16236744, 16219466]",151
"[16236755, 16228396]",16
"[16236762, 547625246]",112
"[16236818, 16213061]",11
"[16236832, 16234850]",10
"[16236842, 802822846]",15
"[16236850, 16214517]",23
"[16236850, 16224934]",53
"[16236865, 827408869]",56
"[16236883, 16235758]",2
"[16236885, 16227207]",26
"[16236952, 531435879]",6
"[16236953, 16226132]",4
"[16236969, 540726297, 540725817]",98
"[16236970, 16220414]",271
"[16236979, 16216118]",60
"[16236980, 16214540, 16239949]",6
"[16237003, 16218046]",548
"[16237080, 539199593, 539440365]",8
"[16237098, 16233532]",78
"[16237163, 16236407]",36
